start_station_id,end_station_id,start_station_name,end_station_name,avg_trip_time,trip_count,start_lat,start_lon,end_lat,end_lon
65,50,Townsend at 7th,Harry Bridges Plaza (Ferry Building),14.280195854725235,1753,37.771058,-122.402717,37.795392,-122.394203
64,50,2nd at South Park,Harry Bridges Plaza (Ferry Building),9.515307092603159,1753,37.782259,-122.392738,37.795392,-122.394203
55,57,Temporary Transbay Terminal (Howard at Beale),5th at Howard,7.063297059946529,1746,37.789756,-122.394643,37.781752,-122.405127
60,70,Embarcadero at Sansome,San Francisco Caltrain (Townsend at 4th),17.741398809523837,1680,37.80477,-122.403234,37.776617,-122.39526
50,69,Harry Bridges Plaza (Ferry Building),San Francisco Caltrain 2 (330 Townsend),13.099688003220605,1656,37.795392,-122.394203,37.7766,-122.39547
50,65,Harry Bridges Plaza (Ferry Building),Townsend at 7th,15.643030303030308,1650,37.795392,-122.394203,37.771058,-122.402717
77,69,Market at Sansome,San Francisco Caltrain 2 (330 Townsend),11.399299207800123,1641,37.789625,-122.400811,37.7766,-122.39547
70,48,San Francisco Caltrain (Townsend at 4th),Embarcadero at Vallejo,15.042210697579817,1639,37.776617,-122.39526,37.799953,-122.398525
39,70,Powell Street BART,San Francisco Caltrain (Townsend at 4th),7.965685673410993,1631,37.783871,-122.408433,37.776617,-122.39526
68,70,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),6.799762641898864,1615,37.784878,-122.401014,37.776617,-122.39526
65,55,Townsend at 7th,Temporary Transbay Terminal (Howard at Beale),14.006439628482964,1615,37.771058,-122.402717,37.789756,-122.394643
66,69,South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),11.68357142857144,1610,37.774814,-122.418954,37.7766,-122.39547
60,55,Embarcadero at Sansome,Temporary Transbay Terminal (Howard at Beale),9.285217572350625,1601,37.80477,-122.403234,37.789756,-122.394643
75,70,Mechanics Plaza (Market at Battery),San Francisco Caltrain (Townsend at 4th),12.808840125391844,1595,37.7913,-122.399051,37.776617,-122.39526
45,70,Commercial at Montgomery,San Francisco Caltrain (Townsend at 4th),13.4752155625657,1585,37.794231,-122.402923,37.776617,-122.39526
70,39,San Francisco Caltrain (Townsend at 4th),Powell Street BART,10.46943532501641,1523,37.776617,-122.39526,37.783871,-122.408433
57,70,5th at Howard,San Francisco Caltrain (Townsend at 4th),6.722108843537414,1519,37.781752,-122.405127,37.776617,-122.39526
70,62,San Francisco Caltrain (Townsend at 4th),2nd at Folsom,7.730647291941875,1514,37.776617,-122.39526,37.785299,-122.396236
70,49,San Francisco Caltrain (Townsend at 4th),Spear at Folsom,9.861748452696721,1508,37.776617,-122.39526,37.790302,-122.390637
73,51,Grant Avenue at Columbus Avenue,Embarcadero at Folsom,9.280337328007086,1502,37.7979,-122.405942,37.791464,-122.391034
70,75,San Francisco Caltrain (Townsend at 4th),Mechanics Plaza (Market at Battery),14.017935024477088,1498,37.776617,-122.39526,37.7913,-122.399051
54,60,Embarcadero at Bryant,Embarcadero at Sansome,14.048553162853295,1486,37.787152,-122.388013,37.80477,-122.403234
70,54,San Francisco Caltrain (Townsend at 4th),Embarcadero at Bryant,8.725834460983291,1478,37.776617,-122.39526,37.787152,-122.388013
56,69,Beale at Market,San Francisco Caltrain 2 (330 Townsend),11.89686154543394,1471,37.792251,-122.397086,37.7766,-122.39547
73,70,Grant Avenue at Columbus Avenue,San Francisco Caltrain (Townsend at 4th),16.26245050081527,1431,37.7979,-122.405942,37.776617,-122.39526
2,6,San Jose Diridon Caltrain Station,San Pedro Square,7.125735294117648,1428,37.329732,-121.901782,37.336721,-121.894074
55,82,Temporary Transbay Terminal (Howard at Beale),Broadway St at Battery St,8.233820384889512,1403,37.789756,-122.394643,37.798541,-122.400862
50,64,Harry Bridges Plaza (Ferry Building),2nd at South Park,9.49585741811174,1384,37.795392,-122.394203,37.782259,-122.392738
70,57,San Francisco Caltrain (Townsend at 4th),5th at Howard,7.255518682399229,1356,37.776617,-122.39526,37.781752,-122.405127
28,32,Mountain View Caltrain Station,Castro Street and El Camino Real,6.693409706824355,1353,37.394358,-122.076713,37.385956,-122.083678
74,65,Steuart at Market,Townsend at 7th,15.216355023684864,1337,37.794139,-122.394434,37.771058,-122.402717
76,67,Market at 4th,Market at 10th,8.458205912334362,1308,37.786305,-122.404966,37.776619,-122.417385
55,76,Temporary Transbay Terminal (Howard at Beale),Market at 4th,8.191928480204338,1305,37.789756,-122.394643,37.786305,-122.404966
56,60,Beale at Market,Embarcadero at Sansome,10.38599590373784,1302,37.792251,-122.397086,37.80477,-122.403234
6,2,San Pedro Square,San Jose Diridon Caltrain Station,6.931964885101988,1291,37.336721,-121.894074,37.329732,-121.901782
56,61,Beale at Market,2nd at Townsend,9.057078157349885,1288,37.792251,-122.397086,37.780526,-122.390288
48,70,Embarcadero at Vallejo,San Francisco Caltrain (Townsend at 4th),15.621443487340112,1277,37.799953,-122.398525,37.776617,-122.39526
76,55,Market at 4th,Temporary Transbay Terminal (Howard at Beale),7.18684279705573,1268,37.786305,-122.404966,37.789756,-122.394643
